Region;Country
Africa;Algeria
Africa;Angola
Africa;Benin
Africa;Botswana
Africa;Burkina
Africa;Burundi
Africa;Cameroon
Africa;Cape Verde
Africa;Central African Republic
Africa;Chad
Africa;Comoros
Africa;Congo
Africa;Democratic Republic of Congo
Africa;Djibouti
Africa;Egypt
Africa;Equatorial Guinea
Africa;Eritrea
Africa;Ethiopia
Africa;Gabon
Africa;Gambia
Africa;Ghana
Africa;Guinea
Africa;Guinea-Bissau
Africa;Ivory Coast
Africa;Kenya
Africa;Lesotho
Africa;Liberia
Africa;Libya
Africa;Madagascar
Africa;Malawi
Africa;Mali
Africa;Mauritania
Africa;Mauritius
Africa;Morocco
Africa;Mozambique
Africa;Namibia
Africa;Niger
Africa;Nigeria
Africa;Rwanda
Africa;Sao Tome and Principe
Africa;Senegal
Africa;Seychelles
Africa;Sierra Leone
Africa;Somalia
Africa;South Africa
Africa;South Sudan
Africa;Sudan
Africa;Swaziland
Africa;Tanzania
Africa;Togo
Africa;Tunisia
Africa;Uganda
Africa;Zambia
Africa;Zimbabwe
Asia;Afghanistan
Asia;Bahrain
Asia;Bangladesh
Asia;Bhutan
Asia;Brunei
Asia;Burma (Myanmar)
Asia;Cambodia
Asia;China
Asia;East Timor
Asia;Hong Kong
Asia;India
Asia;Indonesia
Asia;Iran
Asia;Iraq
Asia;Israel
Asia;Japan
Asia;Jordan
Asia;Kazakhstan
Asia;North Korea
Asia;South Korea
Asia;Kuwait
Asia;Kyrgyzstan
Asia;Laos
Asia;Lebanon
Asia;Malaysia
Asia;Maldives
Asia;Mongolia
Asia;Nepal
Asia;Oman
Asia;Pakistan
Asia;Philippines
Asia;Qatar
Asia;Russia
Asia;Saudi Arabia
Asia;Singapore
Asia;Sri Lanka
Asia;Syria
Asia;Taiwan
Asia;Tajikistan
Asia;Thailand
Europa;Turkey
Asia;Turkmenistan
Asia;United Arab Emirates
Asia;Uzbekistan
Asia;Vietnam
Asia;Yemen
Europa;Albania
Europa;Andorra
Europa;Armenia
Europa;Austria
Europa;Azerbaijan
Europa;Belarus
Europa;Belgium
Europa;Bosnia and Herzegovina
Europa;Bulgaria
Europa;Croatia
Europa;Cyprus
Europa;Czechia
Europa;Denmark
Europa;Estonia
Europa;Finland
Europa;France
Europa;Georgia
Europa;Germany
Europa;Greece
Europa;Hungary
Europa;Iceland
Europa;Ireland
Europa;Italy
Europa;Latvia
Europa;Liechtenstein
Europa;Lithuania
Europa;Luxembourg
Europa;Macedonia
Europa;Malta
Europa;Moldova
Europa;Monaco
Europa;Montenegro
Europa;Netherlands
Europa;Norway
Europa;Poland
Europa;Portugal
Europa;Romania
Europa;San Marino
Europa;Serbia
Europa;Slovakia
Europa;Slovenia
Europa;Spain
Europa;Sweden
Europa;Switzerland
Europa;Ukraine
Europa;United Kingdom
Europa;Vatican City
Americas;Antigua and Barbuda
Americas;Bahamas
Americas;Barbados
Americas;Belize
Americas;Canada
Americas;Costa Rica
Americas;Cuba
Americas;Dominica
Americas;Dominican Republic
Americas;El Salvador
Americas;Grenada
Americas;Guatemala
Americas;Haiti
Americas;Honduras
Americas;Jamaica
Americas;Mexico
Americas;Nicaragua
Americas;Panama
Americas;Saint Kitts and Nevis
Americas;Saint Lucia
Americas;Saint Vincent and the Grenadines
Americas;Trinidad and Tobago
Americas;United States
Oceania;Australia
Oceania;Fiji
Oceania;Kiribati
Oceania;Marshall Islands
Oceania;Micronesia
Oceania;Nauru
Oceania;New Zealand
Oceania;Palau
Oceania;Papua New Guinea
Oceania;Samoa
Oceania;Solomon Islands
Oceania;Tonga
Oceania;Tuvalu
Oceania;Vanuatu
Americas;Argentina
Americas;Bolivia
Americas;Brazil
Americas;Chile
Americas;Colombia
Americas;Ecuador
Americas;Guyana
Americas;Paraguay
Americas;Peru
Americas;Suriname
Americas;Uruguay
Americas;Venezuela
